Year,gdppc00_Kenya,gdppc00_SSA
1960,260.8299888,424.2310549
1961,233.1867012,422.4612527
1962,247.3268664,436.4849869
1963,260.5988537,451.8347713
1964,264.862853,466.4658799
1965,261.5275098,484.4655744
1966,290.3393719,485.9078367
1967,290.2876565,484.1814716
1968,303.0812768,489.8171646
1969,316.2010288,510.895294
1970,291.1721644,536.6139695
1971,343.3772398,555.8466098
1972,387.8712643,555.6635334
1973,396.1010121,563.4779394
1974,397.3735092,588.1587868
1975,386.3481647,578.8329939
1976,380.2923551,588.8251682
1977,401.0182894,583.1404925
1978,412.9747941,573.8965274
1979,427.9746575,579.7195803
1980,435.0734092,586.318966
1981,434.5962043,583.0679824
1982,424.622965,570.1835319
1983,414.133531,548.8775728
1984,405.8231727,546.4239954
1985,407.8304048,538.1473887
1986,421.3980118,533.8674872
1987,430.6444391,531.1560593
1988,441.4898826,538.9213531
1989,446.4663617,540.9854263
1990,449.6732537,532.6000004
1991,441.2200412,522.166836
1992,423.6711919,503.0337401
1993,411.9402388,492.7339657
1994,410.1471627,488.7129671
1995,415.9961532,494.0472801
1996,421.4768912,505.5507866
1997,412.4590001,510.5770326
1998,415.24677,509.7037468
1999,414.140891,509.4452945
2000,406.0728332,514.5581609
2001,410.6160686,520.5702191
2002,402.1829125,525.2375428
2003,403.2318095,533.7251845
2004,412.8605312,552.4964338
2005,426.0451184,571.5033972
2006,441.5317718,592.7300274
2007,460.5087935,616.4626314
2008,455.7498881,632.0106495
2009,455.8687532,629.8831429
2010,468.6997225,644.9719308
2011,476.8777998,655.1727467
