year,theta_hat
1963,0.64272
1964,0.64272
1965,0.64272
1966,0.64272
1967,0.64272
1968,0.64272
1969,0.64272
1970,1.77952
1971,1.77952
1972,1.77952
1973,1.77952
1974,1.77952
1975,1.77952
1976,1.77952
1977,1.77952
1978,1.77952
1979,2.67696
1980,2.67696
1981,2.67696
1982,2.67696
1983,2.67696
1984,2.67696
1985,2.67696
1986,2.67696
1987,2.67696
1988,2.67696
1989,2.67696
1990,2.67696
1991,2.67696
1992,2.67696
1993,1.6244
1994,1.6244
1995,1.6244
1996,1.6244
1997,1.6244
1998,1.6244
1999,1.6244
2000,1.6244
2001,1.6244
2002,1.6244
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
